      DepSM      T090C      Sal00  Sigma-t00       FlSP    WetStar SeaTurbMtr       SvCM   Sbeox0PS Sbeox0Mg/L       Flag
      0.013    21.3937    24.6835    16.5589 8.0586e-01     0.2322      0.000    1513.89  100.27476    7.68090 0.0000e+00
      0.003    21.3916    24.6842    16.5599 5.8608e-01     0.2346      0.000    1513.88  100.21620    7.67668 0.0000e+00
      0.003    21.3903    24.6835    16.5597 5.0061e-01     0.2310      0.000    1513.88  100.21239    7.67659 0.0000e+00
      0.013    21.3902    24.6834    16.5597 4.8840e-01     0.2322      0.000    1513.88  100.26719    7.68081 0.0000e+00
      0.026    21.3890    24.6832    16.5599 5.9829e-01     0.2322      0.000    1513.87  100.26754    7.68102 0.0000e+00
      0.026    21.3874    24.6838    16.5608 5.4945e-01     0.2371      0.073    1513.87  100.26768    7.68122 0.0000e+00
      0.039    21.3872    24.6838    16.5607 4.7619e-01     0.2285      0.234    1513.87  100.26815    7.68129 0.0000e+00
      0.048    21.3924    24.6814    16.5576 4.1514e-01     0.1943      0.348    1513.88  100.26916    7.68073 0.0000e+00
      0.039    21.3963    24.6806    16.5560 4.2735e-01     0.1528      0.410    1513.89  100.26978    7.68028 0.0000e+00
      0.039    21.3977    24.6820    16.5567 4.0293e-01     0.1418      0.447    1513.89  100.27025    7.68005 0.0000e+00
      0.073    21.3982    24.6827    16.5571 3.2967e-01     0.1602      0.436    1513.90  100.27104    7.68001 0.0000e+00
      0.050    21.3978    24.6826    16.5571 2.1978e-01     0.1809      0.462    1513.90  100.32926    7.68452 0.0000e+00
      0.061    21.3975    24.6825    16.5571 1.3431e-01     0.1907      0.513    1513.90  100.33336    7.68489 0.0000e+00
      0.073    21.3978    24.6815    16.5563 1.5873e-01     0.1931      0.513    1513.90  100.33737    7.68519 0.0000e+00
      0.074    21.3989    24.6808    16.5555 8.5470e-02     0.2066      0.147    1513.90  100.28297    7.68090 0.0000e+00
      0.074    21.3996    24.6806    16.5551 1.2210e-01     0.2175      0.026    1513.90  100.28288    7.68082 0.0000e+00
      0.061    21.3999    24.6804    16.5549 2.1978e-01     0.2322      0.132    1513.90  100.34081    7.68522 0.0000e+00
      0.073    21.3983    24.6810    16.5558 2.5641e-01     0.2432      0.000    1513.90  100.28608    7.68122 0.0000e+00
      0.074    21.3964    24.6819    16.5569 3.6630e-01     0.2395      0.000    1513.89  100.34379    7.68586 0.0000e+00
      0.061    21.3961    24.6816    16.5568 5.8608e-01     0.2322      0.000    1513.89  100.28873    7.68170 0.0000e+00
      0.060    21.3973    24.6812    16.5562 5.0061e-01     0.2285      0.000    1513.89  100.28836    7.68153 0.0000e+00
      0.061    21.4001    24.6799    16.5545 4.3956e-01     0.2273      0.000    1513.90  100.34642    7.68564 0.0000e+00
      0.061    21.4018    24.6797    16.5539 6.7155e-01     0.2273      0.000    1513.90  100.29159    7.68121 0.0000e+00
      0.050    21.4035    24.6794    16.5532 9.4017e-01     0.2261      0.033    1513.91  100.29100    7.68093 0.0000e+00
      0.048    21.4059    24.6783    16.5518 1.3065e+00     0.2298      0.000    1513.91  100.29059    7.68062 0.0000e+00
      0.039    21.4063    24.6785    16.5518 1.2576e+00     0.2310      0.000    1513.91  100.28988    7.68049 0.0000e+00
      0.026    21.4070    24.6784    16.5515 8.0586e-01     0.2273      0.000    1513.92  100.34737    7.68480 0.0000e+00
      0.037    21.4074    24.6786    16.5516 2.9304e-01     0.2139      0.033    1513.92  100.35059    7.68498 0.0000e+00
      0.026    21.4076    24.6792    16.5520 3.6630e-01     0.2151      0.125    1513.92  100.35334    7.68515 0.0000e+00
      0.026    21.4073    24.6801    16.5528 1.0134e+00     0.2224      0.205    1513.92  100.35603    7.68535 0.0000e+00
      0.014    21.4067    24.6808    16.5534 1.2576e+00     0.2383      0.322    1513.92  100.41659    7.69004 0.0000e+00
      0.024    21.4065    24.6811    16.5538 1.2576e+00     0.2334      0.311    1513.92  100.42275    7.69053 0.0000e+00
      0.026    21.4069    24.6812    16.5537 1.2943e+00     0.2249      0.322    1513.92  100.48677    7.69538 0.0000e+00
      0.014    21.4065    24.6813    16.5539 1.2698e+00     0.2285      0.322    1513.92  100.49570    7.69611 0.0000e+00
      0.024    21.4070    24.6811    16.5536 1.1111e+00     0.2676      0.000    1513.92  100.50450    7.69671 0.0000e+00
      0.014    21.4068    24.6813    16.5538 8.1807e-01     0.2774      0.000    1513.92  100.57071    7.70181 0.0000e+00
      0.026    21.4067    24.6814    16.5539 7.2039e-01     0.2737      0.000    1513.92  100.58218    7.70270 0.0000e+00
      0.024    21.4067    24.6814    16.5539 1.0134e+00     0.2688      0.000    1513.92  100.59285    7.70351 0.0000e+00
      0.039    21.4072    24.6809    16.5534 1.2454e+00     0.2566      0.000    1513.92  100.66136    7.70871 0.0000e+00
      0.026    21.4079    24.6804    16.5529 1.0256e+00     0.2444      0.000    1513.92  100.67436    7.70963 0.0000e+00
      0.039    21.4090    24.6798    16.5521 8.9133e-01     0.2395      0.000    1513.92  100.68693    7.71047 0.0000e+00
      0.048    21.4096    24.6796    16.5518 6.9597e-01     0.2359      0.000    1513.93  100.69861    7.71129 0.0000e+00
      0.050    21.4095    24.6796    16.5518 3.9072e-01     0.2298      0.000    1513.92  100.70932    7.71212 0.0000e+00
      0.050    21.4095    24.6795    16.5517 3.5409e-01     0.2285      0.033    1513.92  100.71922    7.71288 0.0000e+00
      0.060    21.4096    24.6796    16.5517 7.5702e-01     0.2310      0.223    1513.93  100.67024    7.70910 0.0000e+00
      0.061    21.4095    24.6798    16.5519 7.2039e-01     0.2371      0.355    1513.93  100.67488    7.70947 0.0000e+00
      0.074    21.4086    24.6803    16.5525 5.6166e-01     0.2407      0.432    1513.92  100.67894    7.70989 0.0000e+00
      0.074    21.4078    24.6809    16.5532 5.0061e-01     0.2432      0.429    1513.92  100.68221    7.71022 0.0000e+00
      0.084    21.4070    24.6812    16.5537 4.1514e-01     0.2444      0.000    1513.92  100.68497    7.71053 0.0000e+00
      0.086    21.4058    24.6813    16.5540 3.0525e-01     0.2456      0.000    1513.92  100.62873    7.70639 0.0000e+00
      0.099    21.4041    24.6819    16.5550 3.0525e-01     0.2542      0.000    1513.91  100.62249    7.70613 0.0000e+00
      0.084    21.4032    24.6820    16.5552 2.6862e-01     0.2578      0.000    1513.91  100.61535    7.70570 0.0000e+00
      0.099    21.4029    24.6817    16.5551 4.5177e-01     0.2578      0.000    1513.91  100.55377    7.70104 0.0000e+00
      0.099    21.4039    24.6813    16.5546 9.5238e-01     0.2578      0.000    1513.91  100.54621    7.70034 0.0000e+00
      0.099    21.4044    24.6812    16.5543 8.0586e-01     0.2578      0.092    1513.91  100.53828    7.69966 0.0000e+00
      0.109    21.4048    24.6811    16.5542 5.4945e-01     0.2505      0.234    1513.91  100.53013    7.69899 0.0000e+00
      0.086    21.4053    24.6809    16.5539 3.5409e-01     0.2469      0.304    1513.92  100.52128    7.69825 0.0000e+00
      0.110    21.4063    24.6803    16.5532 0.0000e+00     0.2432      0.355    1513.92  100.45453    7.69302 0.0000e+00
      0.096    21.4069    24.6803    16.5530 0.0000e+00     0.2469      0.403    1513.92  100.44148    7.69193 0.0000e+00
      0.110    21.4067    24.6808    16.5534 0.0000e+00     0.2493      0.440    1513.92  100.48675    7.69542 0.0000e+00
      0.099    21.4062    24.6810    16.5537 2.4420e-02     0.2542      0.476    1513.92  100.48097    7.69504 0.0000e+00
      0.110    21.4055    24.6817    16.5544 1.2210e-02     0.2530      0.495    1513.92  100.47529    7.69467 0.0000e+00
      0.109    21.4049    24.6817    16.5546 2.9304e-01     0.2517      0.502    1513.92  100.46930    7.69428 0.0000e+00
      0.110    21.4052    24.6816    16.5545 1.0012e+00     0.2493      0.513    1513.92  100.40107    7.68903 0.0000e+00
      0.110    21.4062    24.6813    16.5540 9.8901e-01     0.2407      0.516    1513.92  100.38712    7.68784 0.0000e+00
      0.096    21.4074    24.6811    16.5535 6.1050e-01     0.2383      0.516    1513.92  100.37686    7.68689 0.0000e+00
      0.110    21.4076    24.6811    16.5535 0.0000e+00     0.2322      0.509    1513.92  100.36284    7.68579 0.0000e+00
      0.099    21.4091    24.6802    16.5524 1.7094e-01     0.2273      0.502    1513.93  100.35249    7.68482 0.0000e+00
      0.099    21.4100    24.6799    16.5519 6.7155e-01     0.2200      0.513    1513.93  100.28000    7.67916 0.0000e+00
      0.096    21.4097    24.6797    16.5518 6.1050e-01     0.2139      0.505    1513.93  100.26173    7.67780 0.0000e+00
      0.099    21.4088    24.6801    16.5524 3.6630e-01     0.2310      0.524    1513.92  100.18925    7.67237 0.0000e+00
      0.086    21.4084    24.6802    16.5525 3.2967e-01     0.2493      0.443    1513.92  100.16733    7.67074 0.0000e+00
      0.084    21.4081    24.6801    16.5526 3.0525e-01     0.2432      0.271    1513.92  100.14572    7.66913 0.0000e+00
      0.074    21.4077    24.6797    16.5524 2.0757e-01     0.2212      0.000    1513.92  100.06595    7.66309 0.0000e+00
      0.074    21.4088    24.6795    16.5519 6.1050e-02     0.2212      0.000    1513.92  100.04116    7.66105 0.0000e+00
      0.024    21.4082    24.6804    16.5527 6.1050e-02     0.2249      0.000    1513.92  100.01987    7.65947 0.0000e+00
      0.086    21.4055    24.6822    16.5548 3.0525e-01     0.2261      0.000    1513.92   99.94198    7.65380 0.0000e+00
      0.039    21.4015    24.6840    16.5573 5.0061e-01     0.2298      0.000    1513.91   99.91762    7.65242 0.0000e+00
      0.026    21.3980    24.6851    16.5590 5.8608e-01     0.2334      0.000    1513.90   99.89437    7.65108 0.0000e+00
      0.013    21.3968    24.6850    16.5592 6.2271e-01     0.2334      0.000    1513.90   99.87601    7.64985 0.0000e+00
      0.014    21.3974    24.6845    16.5587 5.4945e-01     0.2334      0.000    1513.90   99.80063    7.64402 0.0000e+00
      0.003    21.3992    24.6835    16.5574 3.7851e-01     0.2395      0.000    1513.90   99.78459    7.64257 0.0000e+00
     -0.023    21.4004    24.6829    16.5567 4.2735e-01     0.2591      0.000    1513.90   99.71119    7.63681 0.0000e+00
     -0.021    21.4015    24.6827    16.5563 6.9597e-01     0.2713      0.000    1513.91   99.69377    7.63533 0.0000e+00
     -0.046    21.4020    24.6822    16.5557 6.4713e-01     0.2591      0.062    1513.91   99.68124    7.63432 0.0000e+00
     -0.046    21.4029    24.6819    16.5553 5.3724e-01     0.2322      0.000    1513.91   99.72871    7.63784 0.0000e+00
     -0.036    21.4037    24.6817    16.5549 3.6630e-01     0.2139      0.000    1513.91   99.72318    7.63731 0.0000e+00
     -0.070    21.4062    24.6812    16.5539 1.9536e-01     0.2273      0.000    1513.92   99.78080    7.64141 0.0000e+00
     -0.046    21.4086    24.6804    16.5527 3.4188e-01     0.2237      0.000    1513.92   99.72781    7.63705 0.0000e+00
     -0.047    21.4095    24.6808    16.5527 4.7619e-01     0.2578      0.033    1513.92   99.78835    7.64154 0.0000e+00
     -0.057    21.4101    24.6810    16.5527 3.9072e-01     0.2798      0.117    1513.93   99.79566    7.64200 0.0000e+00
     -0.046    21.4110    24.6807    16.5522 1.3431e-01     0.2615      0.062    1513.93   99.80452    7.64257 0.0000e+00
     -0.036    21.4110    24.6808    16.5523 0.0000e+00     0.2493      0.066    1513.93   99.87276    7.64778 0.0000e+00
     -0.046    21.4107    24.6809    16.5525 9.7680e-02     0.2493      0.095    1513.93   99.88345    7.64865 0.0000e+00
     -0.034    21.4095    24.6817    16.5534 1.8315e-01     0.2127      0.220    1513.93   99.95347    7.65414 0.0000e+00
     -0.046    21.4079    24.6823    16.5542 7.3260e-02     0.1992      0.315    1513.92   99.96958    7.65558 0.0000e+00
     -0.000    21.4060    24.6828    16.5552 8.5470e-02     0.2237      0.352    1513.92   99.98716    7.65716 0.0000e+00
     -0.010    21.4045    24.6832    16.5559 1.9536e-01     0.2114      0.385    1513.91  100.00490    7.65872 0.0000e+00
      0.014    21.4044    24.6830    16.5557 1.4652e-01     0.2005      0.407    1513.91  100.07826    7.66435 0.0000e+00
      0.024    21.4042    24.6829    16.5556 1.3431e-01     0.1895      0.421    1513.91  100.09752    7.66586 0.0000e+00
      0.039    21.4035    24.6828    16.5558 2.5641e-01     0.1712      0.451    1513.91  100.17547    7.67193 0.0000e+00
      0.050    21.4035    24.6827    16.5557 2.3199e-01     0.1480      0.484    1513.91  100.19542    7.67346 0.0000e+00
      0.073    21.4040    24.6824    16.5554 1.3431e-01     0.1858      0.348    1513.91  100.21571    7.67497 0.0000e+00
      0.074    21.4042    24.6824    16.5553 3.9072e-01     0.2420      0.220    1513.91  100.23588    7.67648 0.0000e+00
      0.099    21.4044    24.6825    16.5553 1.2332e+00     0.2713      0.062    1513.92  100.31470    7.68248 0.0000e+00
      0.099    21.4053    24.6819    16.5547 1.9292e+00     0.2664      0.095    1513.92  100.28070    7.67978 0.0000e+00
      0.120    21.4070    24.6813    16.5537 1.8315e+00     0.2530      0.260    1513.92  100.35581    7.68532 0.0000e+00
      0.110    21.4083    24.6809    16.5531 1.6606e+00     0.2493      0.385    1513.92  100.37594    7.68671 0.0000e+00
      0.122    21.4089    24.6806    16.5527 1.3797e+00     0.2456      0.454    1513.93  100.34189    7.68402 0.0000e+00
      0.120    21.4096    24.6803    16.5523 1.0256e+00     0.2432      0.480    1513.93  100.42044    7.68994 0.0000e+00
      0.122    21.4096    24.6804    16.5524 5.0061e-01     0.2432      0.487    1513.93  100.44457    7.69179 0.0000e+00
      0.122    21.4098    24.6801    16.5521 2.9304e-01     0.2456      0.491    1513.93  100.46870    7.69362 0.0000e+00
      0.122    21.4095    24.6806    16.5526 0.0000e+00     0.2407      0.491    1513.93  100.48878    7.69519 0.0000e+00
      0.109    21.4090    24.6810    16.5530 0.0000e+00     0.2444      0.495    1513.93  100.50852    7.69675 0.0000e+00
